Id,EssaySet,Score1,Score2,EssayText
4918,3,1,1,"China's panda and Australia's koala are two animals that arent predator, pandas eat bamboo and koala's eat eucalyptus leaves. Therefore, they are harmless. They are both different from pythons because pythons are potentialy dangerous considering they can swallow an entire alligator you could conceivably have pythons shacking upto the Potomac"
4919,3,1,2,"Pandas and koalas are similar because they are both described as specialist animals because they only eat one food exclusively; no change. The panda and koala bears a different from the pythons because because pythons are generalist animals, that migrate and can adapt to the climates in the Lower States, while the panda and koala bears cannot."
4920,3,1,1,Pandas in China and Koalas in Australia are similar because they both only feed on one thing. Pandas eat bamboo and Koalas eucalyptus leaves. Unlike pythons which eat just about everything including Aligators.
4921,3,2,1,Pandas in China only eat bamboo and Koalas in Australia eat exclusively eucalyptus leaves. They are both restricted to one food while pythons eat a varity of foods potentially harming native species.
4922,3,0,0,Pandas in China and koalas from Australia are similar because they are both specialist. They both are different from a python because a python is a generalist.
4923,3,0,0,Panda's are similar to koala's because they are both specialists and a python is a generalist.
4924,3,2,1,"Panda's are similar to Koala's by they are both specialist species. They only survive in certain conditions. They are not able to adapt very well and can only eat and live in certain climates. They are both different form pythons by they are not reptiles. Also a python is a generalist specie and can easily adapt to change. They eat a variety of foods, and accept change."
4925,3,1,1,Pandas in china are similar to koalas in Australia because they both are specialist. In the article it states that koala bears & pandas eat mainly one type of food. Koalas eat eucalyptus leaves while pandas eact bamboo. They are both different from pythons because pythons are generalists. And like stated in the article they can adapt to anything.
4926,3,1,2,Pandas and koalas are similar because they eat mainly one type of food for them. Pandas eat bamboo and koalas eat eucalyptus leaves. They differ from a python because pythons can eat just about anything...one even attempted an alligator.
4927,3,1,0,"Pandas are similar to koalas due to their very much a like eating habitsthey both eat bamboo and occasional bugs. Pythons on the other hand, aren't mammals like pandas & koalas & eat mostly rodents."
4928,3,2,1,"A panda from china and a koala from Australia are very simmilar because they are both specialists. Panda's only eat bamboo and koalas exclusively eat eucalyptus leaves.This shows that they are unable to adopt , unlike a python whose habitat in Asia is simmilar to those in about a third of the continental united states."
4929,3,1,1,"Pandas and koalas are similar in that they are both endangered and they eat mostly one thing, ""China's panda, which eats almost nothing but bamboo, or Australia's koala bears which eats almost eucalyptus leaves almost exclusively."" (Achenbach 5). These two are different from pythons because pythons will eat almost any thing."
4930,3,1,0,"A China panda eats almost nothing, but bamboo koalas bear eat eucalyptus leaves, those two animals are similar because they both eat a food amount of leaves or something that is green. Those two animals are different from pythons because pythons hurt and wrap their pray around them. Panda's and koala bears stay in rain forests, pythons you will mostly catch them in an hot enviroment."
4931,3,0,0,"The pandas in China eat nothing but bamboo and Australia's koala bear eat eucalyptus leaves almost every day. Mammals like a panda and a koala bear, are warm and fuzzy, while animals such as snakes and pythons, are less well respected or supported, which koala bears and pandas are different from pythons."
4932,3,1,1,Panda's and koalas are both similar because they are specialist. They need a very specific climate to live or they will die. Pythons differ from these two animals because pythons are generalist. Pythons have a much broader range that they can survive in.
4933,3,2,2,"A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt."
4934,3,1,2,"Pandas and koalas are similar because they need special environment and food to live, while pythons don't. To show the relationship between these creatures Mac Innes explains, ""What favors generalists is change. What favors specialists is stability"". In other words, pandas and koalas need stability to thrive, while pythons doesn't."
4936,3,1,1,China's panda is similar to Australia's Koala because in the article it states that the panda only eats bamboo and the koala eats eucalyptus leaves constantly. they both only eat one thing and are different from pythons because they eat multiple things (not plants) and are more vicious.
4937,3,2,2,Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.
4939,3,1,1,"Pandas in China are similar to koalas in Australia because, they eat plants only. The pandas eat nothing but bamboo. And as for the koalas they eat nothing but, eucalyptus leaves almost exclusively. They're both different then pythons because, its a generalist."
4940,3,1,1,"Pandas and koalas, eva fogh they live in different of the world are still very alike. The one thing they share the most is their food. They both only practicly eat one thing. For the panda its bamboo and the koala eats eucalyptus leaves both these two animals are very dfferent than a python that has no legs and eats anything."
4941,3,2,2,"A panda beer is similar koala to a koala bear because they both only eat one food for the most part. Pandas eat bamboo, while koalas eat eucalyptus leaves. But a python is a more diverse and invasive animal. I eats a broader range of things from smaller reptile to amphibians."
4942,3,0,0,"Pandas in China and koalas in Australia are similar because they both eat food from nature, for example pandas eat bamboo, and koalas eat eucalyptus leaves. The difference between the two koala and panda from a python is the different environments they live in . For example, the pythons lives along the canals of Cape Coral, pandas and koalas live near forest"
4943,3,1,2,"China's panda and Australia's koala bear are both specialists. while pandas eat nothing but bamboos, ""and koala eats eucalyptus leaves almost exclusively,""  phython's a generalist. According to the oraicle  we live in an age that favors generalist rather than specialists; and other generalists are best in and around humans."
4944,3,2,1,"Pandas and koalas are similar to each other because they both only eat one type of food, while pythons try to eat anything that moves and fit in their mouth. This means that the koalas and pandas are much more likely to go about alike because of their food sources than the pythons."
4946,3,2,1,"Koala's and panda's are both specialists, which means that their is only 1 food that is essential to their diets and can't be found much of anywhere else. While a python is a generalists and can survive in other places because it's food source is not limited."
4947,3,1,1,Pandas in China and koalas from Australia are similar because they are specialists. The pandas only eat bamboo and koalas only eat eucalyptus leaves while a python can heat almost every thing humans can because they're generalist.
4948,3,1,1,"Pandas and koalas are similar because they both almost exclusively eat just one food, pandas eat bamboo, and koalas eat eucalyptus leaves. Both animals are different from the python because pythons can adapt to different food sources while pandas and koalas can not."
4949,3,1,1,Pandas in China are similar to koalas in Australia because they are both specialists. They eat almost nothing. They are both different from pythons because pythons are carnivors. They eat mammals. As pandas eat bamboo and koalas eat leaves.
4951,3,0,1,"Pandas & koalas are similar because they both are classified as specialist & they both eat plants. While the pythons are generalist that eat meat & animals. According to the article it states ""a python swallowed an alligator & which eats almost nothing but bamboo."" These 2 auntes show how both animal have diffrent traits, & eatinhabits are just one of them."
4953,3,0,0,China's panda are different to Australia's koala bear because panda eats almost nothing but bamboo. And koala bear eats eucalyptus leaves almost exclusively.
4954,3,0,0,Panda in China only eat bamboo the Koala in Australia eat eucalyptus leaves exclusively.
4956,3,1,1,"Pandas in China are similar to koalas in Australia. They both rely on eating just one thing, bamboo or eucalyptus leaves exclusively. The panda and koala are different from a python because they are specialists and a python is a generalist."
4957,3,1,1,The pandas in china are similar to koalas in Australia.The article in paragraph 19 through of explains how both of these animals eat nothing but the same food over and over.How the pand eats bamboo and the koalas eats eucalyptus.Both these animals eat plants and they are both different from python's because the koalas and panda are not meat eaters.The article says that the python is generalist.
4958,3,0,0,"China's Panda bear eats mostly bamboo and Australia's Koala eats leaves, the show no harm on other hand pythons eats pets and harm humans and cause a threat to America's animals."
4959,3,1,0,Pandas is similar to koalas because pandas eat bamboo and koala eat only eucalyptus leaves an they thought eat meat and python eat meat.
4960,3,1,1,"Pandas in China and koalas in Australia are similar because they only eat one thing. Pandas eat bamboo and koalas eat eucalyptus leaves. Pythons on the other are completely different because they have a large variety of what they eat. In 2005, a python swallowed an alligator, and later the python itself blew up."
4961,3,2,2,"Well in China a specialist is a panda who eats almost nothing but bamboo and the Australian koala bear eats eucalyptus leaves all the time. They're both different form pythons because pythons can eat anything and can almost survive anywhere. ""A python swallowed an alligator..."" They'll eat anything but the panda and the koala stick with what they know which is the bamboo and the eucalyptus leaves."
4964,3,1,1,Pandas in  China are similar to koalas i Australia because they both prosper off mainly one food source and live in one part of the world unless they are taken away or raised somewhere else. A python differs from these animals because it can be found living in many places and eating many things.
4965,3,0,1,Pandas eat almost nothing but bamboo and koala bear which eats eucalyptus leaves they are similar because they both just eat plants. They both are different from pythons because a python is a reptile and a snake and eats mice and other kinds of animals and you really don't see pandas and koala bears in the street and other weird places.
4968,3,0,0,"The pandas and the koalas are similar because they are the same specia and due, are different's because pandas eat bamboo and koalas eat eucalyptus."
4969,3,1,1,"Pandas in China are similar to koalas in Australia because they only rely one one food source for panda's it's bamboo and koalas it's eucalyptus leaves, yet they both are different from pythons because they rely on more than one source to survive, and they keep on moving to different locations."
4970,3,1,1,Chinas pandas and Australia's koala bears are similar because they each only eat one kind of food that it. The phython can eat anything pretty much. Thats how the phython is different from the pandas and koala. The koala eats eucalyptus leaves and pandas eat only bamboo.
4971,3,0,0,The China's panda eats almost nothing but bamboo and the Astrailia koala bear eats eucalyptus almost exclusively.
4972,3,0,0,Pandas in China are similar to koalas in Australia since they are both specialists that eat a certain type of food almost exclusively. They are different from pythons because pythons can live anywhere and are most abundant in or around humans.
4973,3,1,1,Pandas and koalas eat almost one food exclusively while pythons will just about anything to get nutrition.
4974,3,2,1,Pandas in China are similar to koalas in Australia because they are both specialists. Another similarity between the two is that they both feed to one specific plant. Pandas and koalas are different than pythons because a python is a generalist. Also a python has more than one food source that is not plant or vegetation.
4975,3,1,2,"Pandas in China are similar to koalas in Australia because they both eat mostly only one kind of food. Pandas eat mostly bamboo and koalas eat mostly eucalyptus leaves. Pandas and koalas are different from pythons because pythons will eat anything they can find. For example, that pythons in Florida that tried to eat an alligator."
4977,3,1,0,Pandas in China are similar to koala bears in Australia beause they both eat plants and try to stay out of harms way. On the other hand pythons are different because they will eat anything from mice to alli gators and kill what is ever in its path.
4979,3,1,1,"China's panda and Australia's koala are similar because they are both special lists. This means that they only eat specific items, such as bamboo and eucalyptus leaves. The python, on the other hand, is a generalist carnivor that will eat any meat."
4980,3,2,1,China's panda are similar to Australias Koalas because they both have a strict diet and are picky paters. They are both different from pythons because a python will eat a lot more different food. Like the time when a python swallowed a n alligator and exploded in the Everglades in 2005.
4981,3,1,2,"Pandas in China are similar to koalas in Australia because they are both specialists. Both eat almost nothing but a certain type of plant from their native lands. Both koalas and pandas are different from pythons in that, according to the author, pythons are generalists. They are able to live in many places though small adaptations such as eating whatever animals they can find."
4982,3,1,1,Pandas in China are similar to koalasa in Australia because they both are specialists. Also they only eat one thing. For example pandas only eat bamboo and koalas eat eucalyptus leaves. They are different because they eat different things. In the article it says panda eat bamboo and koalas eat eucalyptus leaves.
